value,suit,image
1,H,Cards/ace_of_hearts.png
2,H,Cards/2_of_hearts.png
3,H,Cards/3_of_hearts.png
4,H,Cards/4_of_hearts.png
5,H,Cards/5_of_hearts.png
6,H,Cards/6_of_hearts.png
7,H,Cards/7_of_hearts.png
8,H,Cards/8_of_hearts.png
9,H,Cards/9_of_hearts.png
10,H,Cards/10_of_hearts.png
11,H,Cards/jack_of_hearts2.png
12,H,Cards/queen_of_hearts2.png
13,H,Cards/king_of_hearts2.png
1,C,Cards/ace_of_clubs.png
2,C,Cards/2_of_clubs.png
3,C,Cards/3_of_clubs.png
4,C,Cards/4_of_clubs.png
5,C,Cards/5_of_clubs.png
6,C,Cards/6_of_clubs.png
7,C,Cards/7_of_clubs.png
8,C,Cards/8_of_clubs.png
9,C,Cards/9_of_clubs.png
10,C,Cards/10_of_clubs.png
11,C,Cards/jack_of_clubs2.png
12,C,Cards/queen_of_clubs2.png
13,C,Cards/king_of_clubs2.png
1,D,Cards/ace_of_diamonds.png
2,D,Cards/2_of_diamonds.png
3,D,Cards/3_of_diamonds.png
4,D,Cards/4_of_diamonds.png
5,D,Cards/5_of_diamonds.png
6,D,Cards/6_of_diamonds.png
7,D,Cards/7_of_diamonds.png
8,D,Cards/8_of_diamonds.png
9,D,Cards/9_of_diamonds.png
10,D,Cards/10_of_diamonds.png
11,D,Cards/jack_of_diamonds2.png
12,D,Cards/queen_of_diamonds2.png
13,D,Cards/king_of_diamonds2.png
1,S,Cards/ace_of_spades.png
2,S,Cards/2_of_hearts.png
3,S,Cards/3_of_spades.png
4,S,Cards/4_of_spades.png
5,S,Cards/5_of_spades.png
6,S,Cards/6_of_spades.png
7,S,Cards/7_of_spades.png
8,S,Cards/8_of_spades.png
9,S,Cards/9_of_spades.png
10,S,Cards/10_of_spades.png
11,S,Cards/jack_of_spades2.png
12,S,Cards/queen_of_spades2.png
13,S,Cards/king_of_spades2.png
